objectid,title,location,format,date,filename,language,subject,descripction,latitude,longitude
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
,,,,,,,,,,
,-,,,,,,,,,
