filename,objectid,side,angle,confidence,method
Fotos/1-58.Francia/025.pdf,34d3dde7-0033-4ab3-a66f-fd9611f59566,back,270,1.0,manual
Fotos/1-58.Francia/026.pdf,455de44a-3b98-4cc6-a7f2-f1bf6ae6c0d3,back,270,1.0,manual
Fotos/1-58.Francia/027.pdf,b223282d-bcd1-4d03-bbef-16649295249c,back,90,1.0,manual
Fotos/1-58.Francia/028.pdf,342e35d4-2546-4dc4-a11c-6618a79b117c,back,270,1.0,manual
Fotos/1-58.Francia/029.pdf,625368fe-88e0-45e3-88cd-3cd95284b68e,back,270,1.0,manual
Fotos/1-58.Francia/030.pdf,08ffabac-5c03-486a-b4ba-2810143f3e50,back,270,1.0,manual
Fotos/1-58.Francia/031.pdf,15b4388c-6d33-4d72-93c6-b9e7fbe529c5,back,270,1.0,manual
Fotos/1-58.Francia/032.pdf,45f04a51-b927-4389-9a29-83799cd0790b,back,270,1.0,manual
Fotos/1-58.Francia/033.pdf,26daebe5-91e3-4f14-a306-79c2504f6f0c,back,270,1.0,manual
Fotos/1-58.Francia/034.pdf,1b3f9584-29c9-448c-ab2b-73bcae7718d0,back,270,1.0,manual
Fotos/1-58.Francia/035.pdf,3d6da5c0-0659-4d3a-bca7-39806c7fd92a,back,270,1.0,manual
Fotos/1-58.Francia/036.pdf,e28ffc7a-5870-4585-a5e8-418f70689115,back,270,1.0,manual
Fotos/1-58.Francia/037.pdf,23e7b6f3-999e-467b-8203-27c38e92671e,back,270,1.0,manual
Fotos/1-58.Francia/038.pdf,b8f2fed3-5690-4daf-8ef5-10ac4237df8e,back,270,1.0,manual
Fotos/1-58.Francia/039.pdf,eb3c1a42-e381-48e1-90a5-fff7cf034141,back,270,1.0,manual
Fotos/1-58.Francia/040.pdf,3f106ea2-0c9d-4c70-ba12-c51249443a01,back,270,1.0,manual
Fotos/1-58.Francia/041.pdf,74e105bc-ca62-4b34-8243-487d3d770a83,back,270,1.0,manual
Fotos/1-58.Francia/042.pdf,dde41cb2-aacf-4554-8e6c-f12f83b65e0b,back,270,1.0,manual
Fotos/1-58.Francia/043.pdf,def353a0-bac9-4065-ad5c-becee602f1f4,back,270,1.0,manual
Fotos/1-58.Francia/044.pdf,85013085-0134-4477-af41-fd6856cccee4,back,270,1.0,manual
Fotos/1-58.Francia/045.pdf,c5754090-43f6-4ab2-a033-a430c3422919,back,270,1.0,manual
Fotos/1-58.Francia/046.pdf,e4de22b8-6a23-4e68-b607-6ecc150066af,back,270,1.0,manual
Fotos/1-58.Francia/047.pdf,b83cd5e7-a050-4c41-a2d9-8691a7ad2027,back,270,1.0,manual
Fotos/1-58.Francia/048.pdf,3452e8e0-5fce-4a0c-89a9-81d89e708673,back,270,1.0,manual
Fotos/1-58.Francia/049.pdf,21b0e48d-787c-47fd-ba13-6ae6ba0c63a9,back,270,1.0,manual
Fotos/1-58.Francia/050.pdf,be8da1d7-92eb-4664-8499-6741ed80197e,back,270,1.0,manual
Fotos/1-58.Francia/051.pdf,ea766776-2f27-4c21-a8c6-0193a6d93f94,back,270,1.0,manual
Fotos/1-58.Francia/052.pdf,5f9b1668-22c1-40ec-af62-96f1515fff94,back,270,1.0,manual
Fotos/1-58.Francia/053.pdf,f80c4991-4a40-4402-b28a-a30958d407dc,back,270,1.0,manual
Fotos/1-58.Francia/054.pdf,8c36540e-b846-4b75-b562-605658a82457,back,270,1.0,manual
Fotos/1-58.Francia/055.pdf,3644f5d8-3d1b-4726-99bf-a533ffef2738,back,270,1.0,manual
Fotos/1-58.Francia/056.pdf,01412c3f-144c-4db8-b84e-070542b39774,back,270,1.0,manual
Fotos/1-58.Francia/057.pdf,078d6ff2-104b-4eb8-a85c-fdb74d90bef4,back,270,1.0,manual
Fotos/1-58.Francia/058.pdf,056e7f4b-fd2f-4d09-93a3-86014ed220ba,back,270,1.0,manual
Fotos/59-83.Austria/059.pdf,f796c4ba-3646-4834-b2d8-8a08f55e372b,back,270,1.0,manual
Fotos/59-83.Austria/060.pdf,1c680a19-36d9-4271-a608-7a57e72b54e1,back,270,1.0,manual
Fotos/59-83.Austria/061.pdf,208c276f-d460-4d3d-bf6f-fb881e823dad,back,270,1.0,manual
Fotos/59-83.Austria/062.pdf,1d4b47fd-a5bd-4253-8cf1-977bdeac1b1d,back,270,1.0,manual
Fotos/59-83.Austria/063.pdf,c64202a2-63d4-408e-8a3a-e81b7be13de3,back,270,1.0,manual
Fotos/59-83.Austria/064.pdf,4bbf3cc2-4e67-43b2-a8d2-e509e2ab3361,back,270,1.0,manual
Fotos/59-83.Austria/065.pdf,2af30c97-7ad7-4238-8cad-f1057e9cd5f6,back,270,1.0,manual
Fotos/59-83.Austria/066.pdf,9584c05b-8845-445d-a0d7-93a64967a8f6,back,270,1.0,manual
Fotos/59-83.Austria/067.pdf,cad078e9-afd1-4feb-82da-19613e0cb2ba,back,270,1.0,manual
