objectid,title,filename,object_location,format,latitude,longitude,date,subject,location,description,source,language,descripction,artifacts_location,swap_front_back,rotation_front,rotation_back
8898b34b-2ab2-40fc-a846-bb4efa7242b1,Pintura de la Virgen con el niño,037.pdf,/ARCHIVO/037.pdf,pdf,,,1655.0,Pintura,Italia,"La Virgen con el Niño será una de las escenas más tratadas por los pinceles de Murillo debido a la amplia demanda de esta temática en la España de la Contrarreforma. Esta obra que contemplamos estaría realizada en torno a 1655, rivalizando con la Virgen del Rosario que guarda el Museo del Prado. Las dos figuras aparecen recortadas sobre un fondo neutro y reciben un potente foco de luz procedente de la izquierda, consiguiendo de esta manera mayor monumentalidad. La serenidad de la postura de la Virgen contrasta con el movimiento escorzado del Niño, rompiendo así con la composición piramidal. La gran novedad de este trabajo estaría en las expresiones de ambos personajes, dirigiendo su mirada hacia el espectador para crear un prototipo de devoción popular en el que destaca la amabilidad de los gestos, anticipando la estética rococó. Las tonalidades brillantes y vaporosas empleadas aportan mayor elegancia a la composición, destacando la belleza idealizada de María, cuyo rostro recuerda a Rafael, aunque el pintor sevillano haya roto la comunicación entre Madre e Hijo conseguida por el italiano. El elegante dibujo de Murillo se pone claramente de manifiesto en la volumetría de ambos personajes y en la correcta definición de sus miembros, especialmente en el cuerpo desnudo del Niño.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/037-front.jpg', 'artifacts/Coleccion-MC/037-back.jpg']",False,,270.0
c0a7651b-caf6-4de5-b92f-8de28bfc9138,Pintura de la Basílica de Santa Giustina,038.pdf,/ARCHIVO/038.pdf,pdf,45.39640109256223,11.879348188358732,,"Pintura, Jardin, Religion","Italia, Padova, Padua",Imagen del jardin y basilica de Santa Justina. ,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/038-front.jpg', 'artifacts/Coleccion-MC/038-back.jpg']",False,90.0,90.0
ad9e8ef7-57de-4b56-a971-1935c24d6974,Imagen del Museo de San Marco,039.pdf,/ARCHIVO/039.pdf,pdf,43.77843919596646,11.259326435949388,,"Religion, Arquitectura","Florencia, Italia",Se aprecia el claustro de San Domenico,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/039-front.jpg', 'artifacts/Coleccion-MC/039-back.jpg']",True,90.0,270.0
22bec2ca-167b-442b-ac8e-86fd415499de,Fotografia del canal grande de Venecia,040.pdf,/ARCHIVO/040.pdf,pdf,45.432648160907135,12.329751344672593,,"Paisaje, Urbano","Venecia, Italia",Canal grande de la Academia en Venecia,Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/040-front.jpg', 'artifacts/Coleccion-MC/040-back.jpg']",False,90.0,90.0
740e537b-9b1b-4e89-a5e6-b98a48a9cbda,Fotografia del palacio del Arte de la lana en Florencia,041.pdf,/ARCHIVO/041.pdf,pdf,43.78645,11.24892,,Palacio ,"Palacio del arte de la lana, Florencia ","Edificio historico de Florencia, hoy pertenece a la sociedad Italiana Dante, la torre data del sigo XIII ",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/041-back.jpg', 'artifacts/Coleccion-MC/041-front.jpg']",True,270.0,270.0
7fa6e955-a562-468f-a0d6-f14c18bc0863,Fotografia de la plaza de la Señoria,042.pdf,/ARCHIVO/042.pdf,pdf,43.7696312460687,11.255459807735717,,Plaza,"Plaza de la Señoría, Florencia Italia","Es la plaza central de Florencia, es la sede del poder civil con el ""Palacio Viejo"" y es el corazón de la vida social de la ciudad.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/042-back.jpg', 'artifacts/Coleccion-MC/042-front.jpg']",False,,270.0
349b335d-1692-455c-9834-ff71e376c10f,Fotografia de Palazzo Vecchio,043.pdf,/ARCHIVO/043.pdf,pdf,43.7687,11.2569,,Palacio ,"Palacio Vecchio, Florencia, Italia","Palacio viejo se encuentra en la plaza de la Señorìa,  Alberga oficinas del Ayuntamiento de la ciudad si bien las principales salas están abiertas al público como museo donde pueden verse murales y cuadros de artistas célebres de la escuela florentina",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/043-back.jpg', 'artifacts/Coleccion-MC/043-front.jpg']",True,270.0,270.0
aa870318-7907-4689-abf2-2cfe27982c02,"Fotografia del palacio pretorio en Florencia, ahora Museo Nacional El Patio",044.pdf,/ARCHIVO/044.pdf,pdf,38.1156614921151,13.361920407561644,,Museo,Palacio Pretorio en Florencia ,"El Palacio Pretorio es de planta rectangular, con una fachada principal que se abre hacia la parte sur de la plaza del Pretorio. Dispuesto en dos niveles, su principal característica son los bloques de toba que cubren totalmente sus paredes exteriores.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/044-front.jpg', 'artifacts/Coleccion-MC/044-back.jpg']",True,270.0,270.0
cf65e431-b393-472c-928c-861be0aa0015,Fotografia del Monumento a Dante Alighieri ,045.pdf,/ARCHIVO/045.pdf,pdf,46.07152,11.12044,,Monumento ,"Plaza de Santa Croce, Florencia ","Es una de las principales plazas o plazas ubicadas en el céntrico barrio de Florencia, en la región de Toscana, Italia. Se encuentra cerca de la Piazza della Signoria y de la Biblioteca Central Nacional, y toma su nombre de la Basílica de Santa Croce que domina la plaza.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/045-front.jpg', 'artifacts/Coleccion-MC/045-back.jpg']",True,270.0,270.0
94645a3d-a55e-484b-816d-fbc946fb1d56,Fotografia del Puente Vecchio en Florencia ,046.pdf,/ARCHIVO/046.pdf,pdf,43.768009,11.253165,,Puente ,"Ponte Vecchio, Florencia, Italia","Es un puente medieval sobre el río Arno en Florencia (Italia). Es un símbolo de la ciudad y uno de los puentes más famosos del mundo, uno de los pocos puentes habitados que se conservan. Atraviesa el río Arno en su punto más estrecho.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/046-front.jpg', 'artifacts/Coleccion-MC/046-back.jpg']",True,270.0,270.0
9306104c-8f25-4888-9ead-adef37e356a4,Fotografia Marco con el monumento al general,047.pdf,/ARCHIVO/047.pdf,pdf,43.77925,11.24626,,Plaza,"Plaza e Chiesa, Italia","Posee el rango de catedral y también el de iglesia patriarcal, además del de basílica",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/047-back.jpg', 'artifacts/Coleccion-MC/047-front.jpg']",True,270.0,270.0
1072e505-5f67-4229-8eb3-a5f9f91fce9b,Retrato de Giuditta- Cristofano Allori,048.pdf,/ARCHIVO/048.pdf,pdf,43.76506,11.24982,,Retrato ,"Galleria Pitti, Florencia, Italia","Es un palacio renacentista en Florencia, Italia, situado en la ribera sur del río Arno, a muy corta distancia del Ponte Vecchio que data de 1458 y que fue originalmente la residencia urbana de Luca Pitti, un banquero florentino.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/048-back.jpg', 'artifacts/Coleccion-MC/048-front.jpg']",True,270.0,270.0
18847054-6acd-40e4-930b-39c944edbc61,Fotografia de Monumento a Giovanni delle Bande Nere,049.pdf,/ARCHIVO/049.pdf,pdf,43.77504,11.25406,,Monumento ,"Plaza de S. Lorenzo, Florencia","La Plaza de San Lorenzo es una de las plazas más importantes de Florencia. Su basílica con la Capilla de los Medici, el Palacio Medici Riccardi y la Biblioteca Medicea Laurenziana",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/049-front.jpg', 'artifacts/Coleccion-MC/049-back.jpg']",True,270.0,270.0
839c7893-c698-4407-853f-af44d0b4979f,Fotografia de Ponte Santa Trinita,050.pdf,/ARCHIVO/050.pdf,pdf,43.76903,11.25032,,Puente ,"Puente S. Trinita, Florencia ","El puente de Santa Trinita tiene interés por si mismo. Construido por Ammanati a partir de 1567y se hallaba en un importante enclave de la ciudad medieval, que ya contaba con otros puentes de madera.",Colección de postales de Manuel Campero,It,,"['artifacts/Coleccion-MC/050-back.jpg', 'artifacts/Coleccion-MC/050-front.jpg']",True,270.0,270.0
dff0db36-c5f9-4c4f-a67e-f9640623faa1,"Fotografía de la ""Eglise Saint-Ambroise"" en Francia",051.pdf,ARCHIVO/051.pdf,pdf,48.861067,2.375564,,Iglesia ,"71 bis Bd Voltaire, 75011 Paris, Francia","Ubicada en París, la Iglesia de San Ambrosio está declarada monumento histórico y es atracción para muchos turistas",Colección de postales de Manuel Campero,fr,,"['artifacts/Coleccion-MC/051-back.jpg', 'artifacts/Coleccion-MC/051-front.jpg']",False,,90.0
f726bf40-f75a-4fd4-98ed-596d2f1ab62b,Retrato de Francois Napoleon,052.pdf,ARCHIVO/052.pdf,pdf,,,,Retrato ,Francia,"Napoleón II, a pesar de ser el hijo del emperador francés,  no obtuvo ningún título de liderazgo debido a la mala reputación de su padre. Sin embargo,  se le cedió el nombre de ""Duque de Reichstadt""  ",Colección de postales de Manuel Campero,Fr,,"['artifacts/Coleccion-MC/052-front.jpg', 'artifacts/Coleccion-MC/052-back.jpg']",True,90.0,270.0
